id,account_id,category_id,type,amount,description,date,is_paid,notes,created_at
c3d4e5f6-0001-4000-8000-000000000001,a1b2c3d4-0002-4000-8000-000000000002,b2c3d4e5-0007-4000-8000-000000000007,income,8500.00,Salário janeiro,2024-01-05,true,,2024-01-05 09:00:00+00
c3d4e5f6-0002-4000-8000-000000000002,a1b2c3d4-0002-4000-8000-000000000002,b2c3d4e5-0003-4000-8000-000000000003,expense,1800.00,Aluguel janeiro,2024-01-06,true,,2024-01-06 10:00:00+00
c3d4e5f6-0003-4000-8000-000000000003,a1b2c3d4-0001-4000-8000-000000000001,b2c3d4e5-0001-4000-8000-000000000001,expense,312.40,Supermercado Pão de Açúcar,2024-01-07,true,,2024-01-07 11:20:00+00
c3d4e5f6-0004-4000-8000-000000000004,a1b2c3d4-0004-4000-8000-000000000004,b2c3d4e5-0002-4000-8000-000000000002,expense,9.50,Metrô,2024-01-08,true,,2024-01-08 07:45:00+00
c3d4e5f6-0005-4000-8000-000000000005,a1b2c3d4-0001-4000-8000-000000000001,b2c3d4e5-0002-4000-8000-000000000002,expense,24.90,Uber para o trabalho,2024-01-08,true,,2024-01-08 08:10:00+00
c3d4e5f6-0006-4000-8000-000000000006,a1b2c3d4-0001-4000-8000-000000000001,b2c3d4e5-0001-4000-8000-000000000001,expense,52.80,iFood - pizza,2024-01-09,true,,2024-01-09 20:15:00+00
c3d4e5f6-0007-4000-8000-000000000007,a1b2c3d4-0004-4000-8000-000000000004,b2c3d4e5-0001-4000-8000-000000000001,expense,18.00,Padaria,2024-01-10,true,,2024-01-10 08:00:00+00
c3d4e5f6-0008-4000-8000-000000000008,a1b2c3d4-0005-4000-8000-000000000005,b2c3d4e5-0008-4000-8000-000000000008,income,3200.00,Projeto site institucional,2024-01-11,true,,2024-01-11 14:00:00+00
c3d4e5f6-0009-4000-8000-000000000009,a1b2c3d4-0002-4000-8000-000000000002,b2c3d4e5-0004-4000-8000-000000000004,expense,280.00,Plano de saúde,2024-01-12,true,,2024-01-12 10:00:00+00
c3d4e5f6-0010-4000-8000-000000000010,a1b2c3d4-0001-4000-8000-000000000001,b2c3d4e5-0005-4000-8000-000000000005,expense,180.00,Show Coldplay,2024-01-13,true,,2024-01-13 19:00:00+00
c3d4e5f6-0011-4000-8000-000000000011,a1b2c3d4-0004-4000-8000-000000000004,b2c3d4e5-0002-4000-8000-000000000002,expense,8.50,Ônibus,2024-01-14,true,,2024-01-14 07:30:00+00
c3d4e5f6-0012-4000-8000-000000000012,a1b2c3d4-0001-4000-8000-000000000001,b2c3d4e5-0006-4000-8000-000000000006,expense,79.90,Netflix + Spotify,2024-01-15,true,,2024-01-15 08:00:00+00
c3d4e5f6-0013-4000-8000-000000000013,a1b2c3d4-0003-4000-8000-000000000003,b2c3d4e5-0009-4000-8000-000000000009,income,420.00,Dividendos FIIs,2024-01-16,true,,2024-01-16 09:00:00+00
c3d4e5f6-0014-4000-8000-000000000014,a1b2c3d4-0001-4000-8000-000000000001,b2c3d4e5-0001-4000-8000-000000000001,expense,145.60,Supermercado Extra,2024-01-17,true,,2024-01-17 18:30:00+00
c3d4e5f6-0015-4000-8000-000000000015,a1b2c3d4-0002-4000-8000-000000000002,b2c3d4e5-0004-4000-8000-000000000004,expense,95.00,Farmácia,2024-01-18,true,,2024-01-18 17:00:00+00
c3d4e5f6-0016-4000-8000-000000000016,a1b2c3d4-0005-4000-8000-000000000005,b2c3d4e5-0002-4000-8000-000000000002,expense,67.40,Combustível,2024-01-19,true,,2024-01-19 12:00:00+00
c3d4e5f6-0017-4000-8000-000000000017,a1b2c3d4-0004-4000-8000-000000000004,b2c3d4e5-0001-4000-8000-000000000001,expense,32.00,Lanche,2024-01-20,true,,2024-01-20 13:00:00+00
c3d4e5f6-0018-4000-8000-000000000018,a1b2c3d4-0001-4000-8000-000000000001,b2c3d4e5-0005-4000-8000-000000000005,expense,89.00,Jantar restaurante,2024-01-21,true,,2024-01-21 20:30:00+00
c3d4e5f6-0019-4000-8000-000000000019,a1b2c3d4-0002-4000-8000-000000000002,b2c3d4e5-0003-4000-8000-000000000003,expense,220.00,Conta de luz + água,2024-01-22,true,,2024-01-22 10:00:00+00
c3d4e5f6-0020-4000-8000-000000000020,a1b2c3d4-0005-4000-8000-000000000005,b2c3d4e5-0008-4000-8000-000000000008,income,1800.00,Consultoria UX,2024-01-24,true,,2024-01-24 16:00:00+00
c3d4e5f6-0021-4000-8000-000000000021,a1b2c3d4-0001-4000-8000-000000000001,b2c3d4e5-0001-4000-8000-000000000001,expense,278.90,Supermercado Carrefour,2024-01-25,true,,2024-01-25 17:00:00+00
c3d4e5f6-0022-4000-8000-000000000022,a1b2c3d4-0004-4000-8000-000000000004,b2c3d4e5-0002-4000-8000-000000000002,expense,11.00,Metrô,2024-01-26,true,,2024-01-26 08:00:00+00
c3d4e5f6-0023-4000-8000-000000000023,a1b2c3d4-0002-4000-8000-000000000002,b2c3d4e5-0007-4000-8000-000000000007,income,8500.00,Salário fevereiro,2024-02-05,true,,2024-02-05 09:00:00+00
c3d4e5f6-0024-4000-8000-000000000024,a1b2c3d4-0002-4000-8000-000000000002,b2c3d4e5-0003-4000-8000-000000000003,expense,1800.00,Aluguel fevereiro,2024-02-06,true,,2024-02-06 10:00:00+00
c3d4e5f6-0025-4000-8000-000000000025,a1b2c3d4-0001-4000-8000-000000000001,b2c3d4e5-0001-4000-8000-000000000001,expense,390.20,Supermercado,2024-02-08,true,,2024-02-08 11:00:00+00
c3d4e5f6-0026-4000-8000-000000000026,a1b2c3d4-0005-4000-8000-000000000005,b2c3d4e5-0002-4000-8000-000000000002,expense,89.00,Combustível,2024-02-09,true,,2024-02-09 12:00:00+00
